Country,prop.Off.ART.500,prop.Off.ART.350500,prop.Off.ART.250350,prop.Off.ART.200250,prop.Off.ART.100200,prop.Off.ART.50100,prop.Off.ART.50,prop.On.ART.500,prop.On.ART.350500,prop.On.ART.250350,prop.On.ART.200250,prop.On.ART.100200,prop.On.ART.50100,prop.On.ART.50
Brazil,0.388467694,0.332324944,0.171408821,0.07837191,0.0234754,0.00458111,0.001370121,0.007979354,0.003450379,0.002117663,0.230565501,0.608588112,0.113416383,0.033882608
Cambodia,0.366567604,0.329587411,0.191106396,0.102971953,0.009172934,0.000544463,4.92E-05,0.050529982,0.044728435,0.026839367,0.016435797,0.562900082,0.200839667,0.09772667
Cameroon,0.29314135,0.363568916,0.186332161,0.076610244,0.063530446,0.012805012,0.004011871,0.0077916,0.001270733,0.07035848,0.043639647,0.589686998,0.166332263,0.120920278
China,0.362826416,0.315711321,0.158921557,0.080116244,0.060317515,0.016718655,0.005388293,0.005464206,0.001877273,0.074336669,0.049378991,0.515127135,0.218685573,0.135130152
Cote d'Ivoire,0.358879687,0.312657397,0.158743199,0.081277052,0.063170154,0.018761521,0.006510991,0.000494991,0.000593989,0.101710688,0.066665347,0.4787154,0.206648715,0.145170871
DRC,0.318377824,0.292673176,0.180379938,0.098328769,0.077364615,0.023784971,0.009090707,0.003817071,0.001272357,0.00094518,0.00047259,0.555038534,0.254616839,0.183837429
Ethiopia,0.313891115,0.29975578,0.212302593,0.12699451,0.040947771,0.005470424,0.000637807,0.003939755,0.00092327,0.000676595,0.000338297,0.640749329,0.234651518,0.118721236
Haiti,0.282772681,0.284313965,0.18693578,0.106046891,0.096358818,0.030956167,0.012615698,0.011126827,0.008580858,0.12602546,0.084111268,0.472795851,0.183734088,0.113625648
Indonesia,0.25075618,0.440652387,0.172230406,0.07139441,0.047949122,0.012660031,0.004357465,5.85E-05,1.46E-05,0.109028667,0.059635111,0.51880791,0.191429292,0.121025917
Jamaica,0.349988413,0.31174971,0.166906141,0.086210892,0.063128621,0.016871379,0.005144844,0.003142374,0.003384095,0.088953348,0.06188059,0.505922166,0.21102248,0.125694948
Kenya,0.383118064,0.334347042,0.159603867,0.06784193,0.042852125,0.009825934,0.002411038,0.009652298,0.006013701,0.107067149,0.246807342,0.364492988,0.165313772,0.10065275
Malawi,0.358860864,0.320551706,0.187621311,0.073688992,0.046188732,0.010650694,0.002437701,0.056391646,0.049440007,0.030099248,0.301728101,0.318886512,0.153003488,0.090450998
Morocco,0.375460455,0.318093174,0.155742145,0.075297941,0.055200433,0.015222102,0.004983749,0.003416301,0.001464129,0.07125427,0.044899951,0.549536359,0.212786725,0.116642265
Mozambique,0.390451656,0.3328876,0.166399403,0.062631672,0.034736529,0.00931917,0.003573969,0.001727895,0.000566273,0.000395462,0.228634822,0.621440682,0.110130588,0.037104277
Myanmar,0.370854535,0.278225542,0.128283905,0.087520276,0.098839295,0.025806354,0.010470093,0.000608114,0.00013031,0.073321171,0.061506385,0.487012423,0.205759708,0.171661889
Nigeria,0.358210364,0.313843399,0.155157422,0.079500264,0.065049616,0.020215483,0.008023452,0.021079357,0.015264506,0.161210012,0.078484935,0.466842308,0.159021907,0.098096975
Pakistan,0.455589882,0.349367639,0.109263371,0.043975671,0.030025101,0.008640664,0.003137671,0.002555721,0.00071314,0.354393294,0.185715717,0.233422506,0.122674602,0.100525021
Philippines,0.479515571,0.354048443,0.108512111,0.044083045,0.011626298,0.001799308,0.000415225,8.75E-05,2.54E-05,1.96E-05,9.78E-06,0.729781169,0.191926701,0.078149794
Russia,0.423962434,0.342383261,0.138916685,0.053874132,0.030942722,0.007661779,0.002258987,0.000108783,0.00019581,0.000152296,0.330744294,0.403498466,0.170637252,0.094663099
South Sudan,0.350227733,0.316272485,0.166411485,0.084787076,0.061979359,0.015948876,0.004372986,0.002428912,0.000725188,0.124308826,0.084430164,0.465092431,0.202064843,0.120949635
South Africa,0.354918052,0.306584732,0.157134045,0.079215111,0.068744193,0.023081308,0.01032256,0,0,0.145489199,0.09021601,0.391359593,0.205209657,0.16772554
Thailand,0.324976829,0.395721103,0.135000587,0.055461341,0.061734791,0.017108304,0.009997045,0.008928162,0.001048576,0.157800435,0.059728083,0.51462152,0.132212138,0.125661086
Tanzania,0.403791525,0.332259039,0.15816065,0.059984236,0.033519497,0.008748902,0.00353615,0.037906182,0.025237537,0.013154942,0.218266042,0.45381431,0.168233622,0.083387366
Uganda,0.32188474,0.300235402,0.174235489,0.091681379,0.077835175,0.024564616,0.009563199,0.001138088,0.000455235,0.108270106,0.07124431,0.438998483,0.215174507,0.164719272
Ukraine,0.35531156,0.31527118,0.177949593,0.094203164,0.041831241,0.011102477,0.004330784,0.013970697,0.005144295,0.00333284,0.00166938,0.696451088,0.200852449,0.078579251
Vietnam,0.358119915,0.346526162,0.15224103,0.061978067,0.069605394,0.009095977,0.002433455,0.000147153,2.45E-05,0.096654731,0.039289743,0.35748271,0.309290234,0.197110904
Zambia,0.399885806,0.349207113,0.149715676,0.066808635,0.02955607,0.004277306,0.000549394,0.004073239,0.001666126,0.132150092,0.097332445,0.569683524,0.136047949,0.059046625
Zimbabwe,0.368515231,0.322586531,0.178488671,0.094042992,0.029895816,0.005296508,0.00117425,0.052198499,0.046514575,0.030457249,0.020985668,0.552822463,0.19581749,0.101204056